Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Бородинский_batch_2,Комбинирование,0,21,21
Бородинский_batch_1,Комбинирование,21,42,21
Бородинский_batch_2,Смешивание,21,31,10
Бородинский_batch_2,Формовка,31,42,11
Бородинский_batch_1,Смешивание,42,52,10
Бородинский_batch_2,Расстойка,42,62,20
Формовой_batch_3,Комбинирование,42,63,21
Бородинский_batch_1,Формовка,52,63,11
Бородинский_batch_2,Выпекание,62,117,55
Бородинский_batch_1,Расстойка,63,83,20
Формовой_batch_2,Комбинирование,63,84,21
Формовой_batch_3,Смешивание,63,75,12
Формовой_batch_3,Формовка,75,86,11
Бородинский_batch_1,Выпекание,83,138,55
Формовой_batch_2,Смешивание,84,96,12
Формовой_batch_4,Комбинирование,84,105,21
Формовой_batch_3,Расстойка,86,111,25
Формовой_batch_2,Формовка,96,107,11
Формовой_batch_1,Комбинирование,105,126,21
Формовой_batch_4,Смешивание,105,117,12
Формовой_batch_2,Расстойка,107,132,25
Формовой_batch_3,Выпекание,111,156,45
Бородинский_batch_2,Остывание,117,237,120
Формовой_batch_4,Формовка,117,128,11
Булочка (ориг.)_batch_3,Комбинирование,126,130,4
Формовой_batch_1,Смешивание,126,138,12
Формовой_batch_4,Расстойка,128,153,25
Булочка (ориг.)_batch_1,Комбинирование,130,134,4
Булочка (ориг.)_batch_3,Смешивание,130,141,11
Формовой_batch_2,Выпекание,132,177,45
Булочка (ориг.)_batch_1,Смешивание,134,145,11
Булочка (ориг.)_batch_2,Комбинирование,134,138,4
Бородинский_batch_1,Остывание,138,258,120
Булочка (ориг.)_batch_2,Смешивание,138,149,11
Домашний_batch_1,Комбинирование,138,159,21
Формовой_batch_1,Формовка,138,149,11
Булочка (ориг.)_batch_3,Формовка,141,163,22
Булочка (ориг.)_batch_1,Формовка,149,171,22
Формовой_batch_1,Расстойка,149,174,25
Формовой_batch_4,Выпекание,153,198,45
Формовой_batch_3,Остывание,156,246,90
Домашний_batch_1,Смешивание,159,169,10
Домашний_batch_3,Комбинирование,159,180,21
Булочка (ориг.)_batch_2,Формовка,163,185,22
Булочка (ориг.)_batch_3,Расстойка,163,208,45
Булочка (ориг.)_batch_1,Расстойка,171,216,45
Домашний_batch_1,Формовка,171,182,11
Формовой_batch_1,Выпекание,174,219,45
Формовой_batch_2,Остывание,177,267,90
Домашний_batch_2,Комбинирование,180,201,21
Домашний_batch_3,Смешивание,180,190,10
Домашний_batch_1,Расстойка,182,207,25
Булочка (ориг.)_batch_2,Расстойка,185,230,45
Домашний_batch_3,Формовка,190,201,11
Формовой_batch_4,Остывание,198,288,90
Багет луковый_batch_3,Комбинирование,201,222,21
Домашний_batch_2,Смешивание,201,211,10
Домашний_batch_3,Расстойка,201,226,25
Домашний_batch_1,Выпекание,207,224,17
Булочка (ориг.)_batch_3,Выпекание,208,230,22
Домашний_batch_2,Формовка,211,222,11
Булочка (ориг.)_batch_1,Выпекание,216,238,22
Формовой_batch_1,Остывание,219,309,90
Багет луковый_batch_1,Комбинирование,222,243,21
Багет луковый_batch_3,Смешивание,222,232,10
Домашний_batch_2,Расстойка,222,247,25
Домашний_batch_1,Остывание,224,284,60
Домашний_batch_3,Выпекание,226,243,17
Булочка (ориг.)_batch_2,Выпекание,230,252,22
Булочка (ориг.)_batch_3,Остывание,230,305,75
Багет луковый_batch_3,Формовка,232,243,11
Бородинский_batch_2,Упаковка,237,252,15
Булочка (ориг.)_batch_1,Остывание,238,313,75
Багет луковый_batch_1,Смешивание,243,253,10
Багет луковый_batch_2,Комбинирование,243,264,21
Багет луковый_batch_3,Расстойка,243,263,20
Домашний_batch_3,Остывание,243,303,60
Формовой_batch_3,Упаковка,246,256,10
Домашний_batch_2,Выпекание,247,264,17
Булочка (ориг.)_batch_2,Остывание,252,327,75
Багет луковый_batch_1,Формовка,253,264,11
Бородинский_batch_1,Упаковка,258,273,15
Багет луковый_batch_3,Выпекание,263,281,18
Багет луковый_batch_1,Расстойка,264,284,20
Багет луковый_batch_2,Смешивание,264,274,10
Домашний_batch_2,Остывание,264,324,60
Формовой_batch_2,Упаковка,267,277,10
Багет луковый_batch_2,Формовка,274,285,11
Багет луковый_batch_3,Остывание,281,326,45
Багет луковый_batch_1,Выпекание,284,302,18
Домашний_batch_1,Упаковка,284,294,10
Багет луковый_batch_2,Расстойка,285,305,20
Формовой_batch_4,Упаковка,288,298,10
Багет луковый_batch_1,Остывание,302,347,45
Домашний_batch_3,Упаковка,303,313,10
Багет луковый_batch_2,Выпекание,305,323,18
Булочка (ориг.)_batch_3,Упаковка,305,320,15
Формовой_batch_1,Упаковка,309,319,10
Булочка (ориг.)_batch_1,Упаковка,313,328,15
Багет луковый_batch_2,Остывание,323,368,45
Домашний_batch_2,Упаковка,324,334,10
Багет луковый_batch_3,Упаковка,326,336,10
Булочка (ориг.)_batch_2,Упаковка,327,342,15
Багет луковый_batch_1,Упаковка,347,357,10
Багет луковый_batch_2,Упаковка,368,378,10
